Local time,Open,High,Low,Close,Volume
01.01.2019 00:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 01:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 02:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 03:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 04:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 05:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 06:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 07:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 08:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 09:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 10:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 11:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 12:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 13:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 14:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 15:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 16:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 17:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 18:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 19:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 20:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 21:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 22:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
01.01.2019 23:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 00:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 01:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 02:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 03:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 04:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 05:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 06:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 07:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 08:00:00.000 GMT-0500,28.710,28.710,28.710,28.710,0
02.01.2019 09:00:00.000 GMT-0500,28.087,28.362,27.847,28.129,42.1045
02.01.2019 10:00:00.000 GMT-0500,28.128,28.630,28.068,28.590,83.7548
02.01.2019 11:00:00.000 GMT-0500,28.590,28.877,28.417,28.417,75.7842
02.01.2019 12:00:00.000 GMT-0500,28.417,28.598,28.238,28.508,57.2974
02.01.2019 13:00:00.000 GMT-0500,28.517,28.968,28.517,28.957,57.8705
02.01.2019 14:00:00.000 GMT-0500,28.957,28.957,28.567,28.707,59.8474
02.01.2019 15:00:00.000 GMT-0500,28.697,28.818,28.527,28.799,71.7498
02.01.2019 16:00:00.000 GMT-0500,28.799,28.799,28.799,28.799,0
02.01.2019 17:00:00.000 GMT-0500,28.799,28.799,28.799,28.799,0
02.01.2019 18:00:00.000 GMT-0500,28.799,28.799,28.799,28.799,0
02.01.2019 19:00:00.000 GMT-0500,28.799,28.799,28.799,28.799,0
02.01.2019 20:00:00.000 GMT-0500,28.799,28.799,28.799,28.799,0
02.01.2019 21:00:00.000 GMT-0500,28.799,28.799,28.799,28.799,0
02.01.2019 22:00:00.000 GMT-0500,28.799,28.799,28.799,28.799,0
02.01.2019 23:00:00.000 GMT-0500,28.799,28.799,28.799,28.799,0
03.01.2019 00:00:00.000 GMT-0500,28.799,28.799,28.799,28.799,0
